Momento,Tempo de demora
1° mes,6.831257423748777
1° mes,8.12161476480673
1° mes,6.617439221308718
1° mes,10.137261761025256
1° mes,6.615641146099081
1° mes,8.87477444719088
1° mes,10.505077247348801
1° mes,6.926370012862349
1° mes,8.241464471934092
1° mes,9.3267363677343
1° mes,10.352391819714398
1° mes,5.554742605880122
1° mes,4.2297797004548805
1° mes,6.070089249909708
1° mes,10.773595655289778
1° mes,7.998829681601222
1° mes,7.752753719249061
1° mes,4.2108880508580615
1° mes,8.964465531320862
1° mes,7.627115741680944
1° mes,8.553433485186018
1° mes,10.426322339375961
1° mes,8.685589800059892
1° mes,6.889842836894687
1° mes,12.928166786015726
1° mes,6.697277237460005
1° mes,8.582541692227817
1° mes,7.386171674700201
1° mes,6.421002250192299
1° mes,9.58960066403953
1° mes,5.251091000046031
1° mes,7.525869904204683
1° mes,8.072547278792362
1° mes,9.982250894688413
1° mes,5.467407860459446
1° mes,10.789409645562948
1° mes,6.0587740439945
1° mes,8.41822167378605
1° mes,10.792416669726203
1° mes,14.856773320335261
1° mes,6.358165017409715
1° mes,6.920319564213029
1° mes,6.01053584452936
1° mes,10.953596021123431
1° mes,7.124419685436239
1° mes,8.355987578384552
1° mes,7.767402707825813
1° mes,5.628208225513765
1° mes,9.09922347636323
1° mes,5.026418854787616
